Downloaded from wid.world on 02-05-2022 at 21:24:21
Percentile;Year;"lpfghg_z_FR
Personal carbon footprint
Top 10% | Average per capita group emissions | all ages | individual | Euro € | ppp | constant (2021)
France"
p90p100;1990;30.086523056
p90p100;1991;30.4344348907
p90p100;1992;31.7681732178
p90p100;1993;29.6502456665
p90p100;1994;29.611415863
p90p100;1995;30.5831756592
p90p100;1996;32.1205101013
p90p100;1997;30.4375019073
p90p100;1998;32.9398841858
p90p100;1999;32.6663513184
p90p100;2000;33.1738891602
p90p100;2001;32.1970672607
p90p100;2002;31.3865528107
p90p100;2003;31.1759605408
p90p100;2004;32.0198478699
p90p100;2005;31.4036865234
p90p100;2006;30.9400310516
p90p100;2007;31.9425773621
p90p100;2008;31.0832633972
p90p100;2009;28.5871715546
p90p100;2010;28.7507019043
p90p100;2011;29.3551521301
p90p100;2012;26.9916648865
p90p100;2013;26.6642665863
p90p100;2014;25.8343486786
p90p100;2015;25.461687088
p90p100;2016;25.0579280853
p90p100;2017;25.5922050476
p90p100;2018;25.2988700867
p90p100;2019;24.6717662811
p99p100;1990;74.5182266235
p99p100;1991;76.5713424683
p99p100;1992;77.192741394
p99p100;1993;75.0714645386
p99p100;1994;76.7871551514
p99p100;1995;80.5527572632
p99p100;1996;93.379119873
p99p100;1997;92.5650177002
p99p100;1998;105.205833435
p99p100;1999;107.671531677
p99p100;2000;110.152893066
p99p100;2001;104.048690796
p99p100;2002;98.3015365601
p99p100;2003;96.2866134644
p99p100;2004;98.3044891357
p99p100;2005;93.8978652954
p99p100;2006;91.806312561
p99p100;2007;95.834777832
p99p100;2008;91.5796279907
p99p100;2009;81.6347122192
p99p100;2010;85.865020752
p99p100;2011;87.8955307007
p99p100;2012;80.5926513672
p99p100;2013;80.9306716919
p99p100;2014;80.785484314
p99p100;2015;79.6278839111
p99p100;2016;77.7052764893
p99p100;2017;79.6640472412
p99p100;2018;79.3937072754
p99p100;2019;77.4926681519
p0p50;1990;7.02807998657
p0p50;1991;7.2301197052
p0p50;1992;7.61069965363
p0p50;1993;7.06453990936
p0p50;1994;6.89900016785
p0p50;1995;6.8978600502
p0p50;1996;6.76817989349
p0p50;1997;6.63581991196
p0p50;1998;6.75167989731
p0p50;1999;6.73531961441
p0p50;2000;6.73487997055
p0p50;2001;6.65984010696
p0p50;2002;6.62951993942
p0p50;2003;6.68124008179
p0p50;2004;6.84841966629
p0p50;2005;6.78147983551
p0p50;2006;6.55343961716
p0p50;2007;6.61233997345
p0p50;2008;6.47497987747
p0p50;2009;6.16512012482
p0p50;2010;6.07719993591
p0p50;2011;6.14818000793
p0p50;2012;5.55719995499
p0p50;2013;5.44210004807
p0p50;2014;5.16455984116
p0p50;2015;5.10860013962
p0p50;2016;5.05467987061
p0p50;2017;5.17876005173
p0p50;2018;5.09376001358
p0p50;2019;4.95491981506
