"idBank";"Dernière mise à jour";"Indicateur";"Composantes du coût du travail";"Unité";"Puissance";"Périodicité";"Activité";"Zone géographique";"Nature";"IDBANK pour sdmx";"﻿Base de l'indice";"Correction"
"010599837";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"B - Industries extractives";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599838";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"C - Industrie manufacturière";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599839";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599840";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"E - Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599836";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"F - Construction";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599841";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"G - Commerce ; réparation d'automobiles et de motocycles";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599842";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"H - Transports et entreposage";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599843";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"I - Hébergement et restauration";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599844";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"J - Information et communication";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599845";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"sans objet";"0";"Trimestrielle";"K - Activités financières et d'assurance";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
