"idBank";"Dernière mise à jour";"Correction";"Nature";"Zone géographique";"﻿Base de l'indice";"Puissance";"Unité";"Encadrement des loyers";"Indicateur";"Périodicité"
"010605026";"22/03/2022 12:00";"Non corrigé";"Indice";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010605027";"22/03/2022 12:00";"Non corrigé";"Indice";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010605028";"22/03/2022 12:00";"Non corrigé";"Indice";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010605029";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010605030";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010605031";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010605034";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600351";"22/03/2022 12:00";"Non corrigé";"Indice";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600352";"22/03/2022 12:00";"Non corrigé";"Indice";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600353";"22/03/2022 12:00";"Non corrigé";"Indice";"Province";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600354";"22/03/2022 12:00";"Non corrigé";"Indice";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600355";"22/03/2022 12:00";"Non corrigé";"Indice";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600357";"22/03/2022 12:00";"Non corrigé";"Indice";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600358";"22/03/2022 12:00";"Non corrigé";"Indice";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600359";"22/03/2022 12:00";"Non corrigé";"Indice";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600360";"22/03/2022 12:00";"Non corrigé";"Indice";"Province";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600361";"22/03/2022 12:00";"Non corrigé";"Indice";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600362";"22/03/2022 12:00";"Non corrigé";"Indice";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600364";"22/03/2022 12:00";"Non corrigé";"Indice";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600365";"22/03/2022 12:00";"Non corrigé";"Indice";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600366";"22/03/2022 12:00";"Non corrigé";"Indice";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600367";"22/03/2022 12:00";"Non corrigé";"Indice";"Province";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600368";"22/03/2022 12:00";"Non corrigé";"Indice";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600369";"22/03/2022 12:00";"Non corrigé";"Indice";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600370";"22/03/2022 12:00";"Non corrigé";"Indice";"973 - Guyane";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600371";"22/03/2022 12:00";"Non corrigé";"Indice";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600393";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600394";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600395";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Province";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600396";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600400";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600401";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600402";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Province";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600403";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600404";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600406";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600407";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600408";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600409";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Province";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600410";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600372";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600373";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600374";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Province";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600375";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600376";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
