"idBank";"Dernière mise à jour";"Nature";"Zone géographique";"Correction";"﻿Base de l'indice";"Périodicité";"Puissance";"Indicateur";"Unité"
"010567006";"24/02/2022 08:45";"Indice";"Agglomération de Marseille";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567007";"24/02/2022 08:45";"Indice";"Agglomération de Marseille";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567008";"24/02/2022 08:45";"Indice";"Agglomération de Lille";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567009";"24/02/2022 08:45";"Indice";"Agglomération de Lille";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567010";"24/02/2022 08:45";"Indice";"Agglomération de Lyon";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567011";"24/02/2022 08:45";"Indice";"Agglomération de Lyon";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567012";"24/02/2022 08:45";"Indice";"75 - Paris";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567013";"24/02/2022 08:45";"Indice";"75 - Paris";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567014";"24/02/2022 08:45";"Indice";"77 - Seine-et-Marne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567015";"24/02/2022 08:45";"Indice";"77 - Seine-et-Marne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567016";"24/02/2022 08:45";"Indice";"77 - Seine-et-Marne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567017";"24/02/2022 08:45";"Indice";"77 - Seine-et-Marne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567018";"24/02/2022 08:45";"Indice";"77 - Seine-et-Marne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
