Downloaded from wid.world on 30-04-2022 at 13:41:49
Percentile;Year;"shweal_992_j_FR
Net personal wealth
Top 10% | share | adults | equal split
France"
p90p100;1807;0.8015
p90p100;1808;
p90p100;1809;
p90p100;1810;
p90p100;1811;
p90p100;1812;
p90p100;1813;
p90p100;1814;
p90p100;1815;
p90p100;1816;
p90p100;1817;0.8572
p90p100;1818;
p90p100;1819;
p90p100;1820;
p90p100;1821;
p90p100;1822;
p90p100;1823;
p90p100;1824;
p90p100;1825;
p90p100;1826;
p90p100;1827;0.8347
p90p100;1828;
p90p100;1829;
p90p100;1830;
p90p100;1831;
p90p100;1832;
p90p100;1833;
p90p100;1834;
p90p100;1835;
p90p100;1836;
p90p100;1837;0.8108
p90p100;1838;
p90p100;1839;
p90p100;1840;
p90p100;1841;
p90p100;1842;
p90p100;1843;
p90p100;1844;
p90p100;1845;
p90p100;1846;
p90p100;1847;0.8732
p90p100;1848;
p90p100;1849;
p90p100;1850;
p90p100;1851;
p90p100;1852;
p90p100;1853;
p90p100;1854;
p90p100;1855;
p90p100;1856;
p90p100;1857;0.839
p90p100;1858;
p90p100;1859;
p90p100;1860;
p90p100;1861;
p90p100;1862;
p90p100;1863;
p90p100;1864;
p90p100;1865;
p90p100;1866;
p90p100;1867;0.8194
p90p100;1868;
p90p100;1869;
p90p100;1870;
p90p100;1871;
p90p100;1872;
p90p100;1873;
p90p100;1874;
p90p100;1875;
p90p100;1876;
p90p100;1877;0.836
p90p100;1878;
p90p100;1879;
p90p100;1880;
p90p100;1881;
p90p100;1882;
p90p100;1883;
p90p100;1884;
p90p100;1885;
p90p100;1886;
p90p100;1887;0.843
p90p100;1888;
p90p100;1889;
p90p100;1890;
p90p100;1891;
p90p100;1892;
p90p100;1893;
p90p100;1894;
p90p100;1895;
p90p100;1896;
p90p100;1897;
p90p100;1898;
p90p100;1899;
p90p100;1900;
p90p100;1901;
p90p100;1902;0.8484
p90p100;1903;0.8589
p90p100;1904;0.867
p90p100;1905;0.8683
p90p100;1906;
p90p100;1907;0.8579
p90p100;1908;
p90p100;1909;0.859
p90p100;1910;0.8557
p90p100;1911;0.8626
p90p100;1912;0.8607
p90p100;1913;0.8577
p90p100;1914;0.8577
p90p100;1915;0.8525
p90p100;1916;0.8519
p90p100;1917;0.851
p90p100;1918;0.8472
p90p100;1919;0.8422
p90p100;1920;0.8321
p90p100;1921;0.8251
p90p100;1922;0.8191
p90p100;1923;0.8144
p90p100;1924;0.8129
p90p100;1925;0.799
p90p100;1926;0.7996
p90p100;1927;0.8095
p90p100;1928;
p90p100;1929;0.8131
p90p100;1930;0.8128
p90p100;1931;0.7988
p90p100;1932;0.7923
p90p100;1933;0.7929
p90p100;1934;
p90p100;1935;0.7855
p90p100;1936;0.7814
p90p100;1937;0.7774
p90p100;1938;0.7615
p90p100;1939;0.768
p90p100;1940;0.7385
p90p100;1941;0.7444
p90p100;1942;0.7556
p90p100;1943;0.7746
p90p100;1944;0.7697
p90p100;1945;0.7494
p90p100;1946;0.7096
p90p100;1947;0.7012
p90p100;1948;0.7118
p90p100;1949;0.7281
p90p100;1950;0.7357
p90p100;1951;0.7159
p90p100;1952;0.7359
p90p100;1953;0.741
