Downloaded from wid.world on 29-04-2022 at 16:09:39
Percentile;Year;"sptinc_z_FR
Pre-tax national income 
Top 10% | share
France"
p90p100;1900;0.5015
p90p100;1901;
p90p100;1902;
p90p100;1903;
p90p100;1904;
p90p100;1905;
p90p100;1906;
p90p100;1907;
p90p100;1908;
p90p100;1909;
p90p100;1910;0.5184
p90p100;1911;
p90p100;1912;
p90p100;1913;
p90p100;1914;
p90p100;1915;0.4867
p90p100;1916;0.5067
p90p100;1917;0.5045
p90p100;1918;0.4754
p90p100;1919;0.4851
p90p100;1920;0.4747
p90p100;1921;0.4633
p90p100;1922;0.4784
p90p100;1923;0.4967
p90p100;1924;0.4793
p90p100;1925;0.4723
p90p100;1926;0.4568
p90p100;1927;0.4699
p90p100;1928;0.4692
p90p100;1929;0.4549
p90p100;1930;0.4321
p90p100;1931;0.4287
p90p100;1932;0.4503
p90p100;1933;0.4689
p90p100;1934;0.4751
p90p100;1935;0.4853
p90p100;1936;0.4593
p90p100;1937;0.4523
p90p100;1938;0.4398
p90p100;1939;0.4143
p90p100;1940;0.4246
p90p100;1941;0.4127
p90p100;1942;0.3855
p90p100;1943;0.3477
p90p100;1944;0.3253
p90p100;1945;0.3137
p90p100;1946;0.3472
p90p100;1947;0.3598
p90p100;1948;0.3401
p90p100;1949;0.3422
p90p100;1950;0.3406
p90p100;1951;0.3488
p90p100;1952;0.3562
p90p100;1953;0.3538
p90p100;1954;0.3605
p90p100;1955;0.3672
p90p100;1956;0.3625
p90p100;1957;0.3673
p90p100;1958;0.3585
p90p100;1959;0.3791
p90p100;1960;0.3794
p90p100;1961;0.3841
p90p100;1962;0.3727
p90p100;1963;0.3725
p90p100;1964;0.3789
p90p100;1965;0.3824
p90p100;1966;0.3721
p90p100;1967;0.3703
p90p100;1968;0.3565
p90p100;1969;0.3478
p90p100;1970;0.3332
p90p100;1971;0.3411
p90p100;1972;0.3387
p90p100;1973;0.3455
p90p100;1974;0.3411
p90p100;1975;0.3154
p90p100;1976;0.3317
p90p100;1977;0.3167
p90p100;1978;0.3104
p90p100;1979;0.3
p90p100;1980;0.3162
p90p100;1981;0.3062
p90p100;1982;0.2993
p90p100;1983;0.3061
p90p100;1984;0.3091
p90p100;1985;0.3149
p90p100;1986;0.3246
p90p100;1987;0.3296
p90p100;1988;0.3348
p90p100;1989;0.3366
p90p100;1990;0.333
p90p100;1991;0.3284
p90p100;1992;0.3221
p90p100;1993;0.3228
p90p100;1994;0.3236
p90p100;1995;0.3232
p90p100;1996;0.3263
p90p100;1997;0.3311
p90p100;1998;0.3338
p90p100;1999;0.3362
p90p100;2000;0.3375
p90p100;2001;0.3362
p90p100;2002;0.3312
p90p100;2003;0.3367
p90p100;2004;0.3388
p90p100;2005;0.3356
p90p100;2006;0.3357
p90p100;2007;0.3407
p90p100;2008;0.3369
p90p100;2009;0.3219
p90p100;2010;0.3272
p90p100;2011;0.3336
p90p100;2012;0.3251
p90p100;2013;0.3237
p90p100;2014;0.3243
p90p100;2015;0.3247
p90p100;2016;0.3229
p90p100;2017;0.32
p90p100;2018;0.3201
p90p100;2019;0.3225
p90p100;2020;0.3223
p90p100;2021;0.3223
p0p50;1900;0.1335
p0p50;1901;
p0p50;1902;
p0p50;1903;
p0p50;1904;
p0p50;1905;
p0p50;1906;
p0p50;1907;
p0p50;1908;
p0p50;1909;
p0p50;1910;0.1292
p0p50;1911;
p0p50;1912;
p0p50;1913;
p0p50;1914;
p0p50;1915;0.1358
p0p50;1916;0.134
p0p50;1917;0.1343
p0p50;1918;0.1419
p0p50;1919;0.1399
p0p50;1920;0.143
p0p50;1921;0.146
p0p50;1922;0.1422
p0p50;1923;0.1375
p0p50;1924;0.1421
p0p50;1925;0.1441
p0p50;1926;0.1487
p0p50;1927;0.1459
p0p50;1928;0.1475
p0p50;1929;0.1529
p0p50;1930;0.1591
p0p50;1931;0.1604
p0p50;1932;0.1536
p0p50;1933;0.148
p0p50;1934;0.1462
p0p50;1935;0.1434
p0p50;1936;0.1508
p0p50;1937;0.1552
p0p50;1938;0.1592
p0p50;1939;0.1697
p0p50;1940;0.1659
p0p50;1941;0.1692
p0p50;1942;0.1806
p0p50;1943;0.1957
p0p50;1944;0.2011
p0p50;1945;0.205
p0p50;1946;0.1896
p0p50;1947;0.1851
p0p50;1948;0.1915
p0p50;1949;0.1931
p0p50;1950;0.1946
p0p50;1951;0.1904
p0p50;1952;0.188
p0p50;1953;0.19
p0p50;1954;0.1868
p0p50;1955;0.1842
p0p50;1956;0.1858
p0p50;1957;0.184
p0p50;1958;0.1857
p0p50;1959;0.1798
p0p50;1960;0.1809
p0p50;1961;0.1794
p0p50;1962;0.1806
p0p50;1963;0.178
p0p50;1964;0.1792
p0p50;1965;0.1756
p0p50;1966;0.1785
p0p50;1967;0.1784
p0p50;1968;0.1848
p0p50;1969;0.1892
p0p50;1970;0.1988
p0p50;1971;0.1941
p0p50;1972;0.1977
p0p50;1973;0.1941
p0p50;1974;0.1969
p0p50;1975;0.2141
p0p50;1976;0.2017
p0p50;1977;0.2109
p0p50;1978;0.2158
p0p50;1979;0.2271
p0p50;1980;0.2168
p0p50;1981;0.2223
p0p50;1982;0.2247
p0p50;1983;0.2183
p0p50;1984;0.2185
p0p50;1985;0.2169
p0p50;1986;0.2121
p0p50;1987;0.2105
p0p50;1988;0.2086
p0p50;1989;0.2065
p0p50;1990;0.2074
p0p50;1991;0.2117
p0p50;1992;0.2134
p0p50;1993;0.2116
p0p50;1994;0.2104
p0p50;1995;0.2093
p0p50;1996;0.212
p0p50;1997;0.2103
p0p50;1998;0.21
p0p50;1999;0.2105
p0p50;2000;0.2113
p0p50;2001;0.2126
p0p50;2002;0.2161
p0p50;2003;0.2156
p0p50;2004;0.2152
p0p50;2005;0.2178
p0p50;2006;0.2183
p0p50;2007;0.2164
p0p50;2008;0.2183
p0p50;2009;0.2241
p0p50;2010;0.2204
p0p50;2011;0.2183
p0p50;2012;0.2218
p0p50;2013;0.2235
p0p50;2014;0.2231
p0p50;2015;0.2263
p0p50;2016;0.2278
p0p50;2017;0.2292
p0p50;2018;0.2281
p0p50;2019;0.2271
p0p50;2020;0.2272
p0p50;2021;0.2272
p99p100;1900;0.221
p99p100;1901;
p99p100;1902;
p99p100;1903;
p99p100;1904;
p99p100;1905;
p99p100;1906;
p99p100;1907;
p99p100;1908;
p99p100;1909;
p99p100;1910;0.2302
p99p100;1911;
p99p100;1912;
p99p100;1913;
p99p100;1914;
p99p100;1915;0.1989
p99p100;1916;0.2293
p99p100;1917;0.2266
p99p100;1918;0.2014
p99p100;1919;0.2104
p99p100;1920;0.2013
p99p100;1921;0.1919
p99p100;1922;0.21
p99p100;1923;0.2334
p99p100;1924;0.2164
p99p100;1925;0.2102
p99p100;1926;0.2065
p99p100;1927;0.2135
p99p100;1928;0.2149
p99p100;1929;0.2012
p99p100;1930;0.1733
p99p100;1931;0.1655
p99p100;1932;0.1696
p99p100;1933;0.1775
p99p100;1934;0.1772
p99p100;1935;0.1847
p99p100;1936;0.1739
p99p100;1937;0.1755
p99p100;1938;0.1661
p99p100;1939;0.1651
p99p100;1940;0.1688
p99p100;1941;0.1612
p99p100;1942;0.1475
p99p100;1943;0.1192
p99p100;1944;0.1006
p99p100;1945;0.0854
p99p100;1946;0.1051
p99p100;1947;0.1079
p99p100;1948;0.0999
p99p100;1949;0.1035
p99p100;1950;0.1043
p99p100;1951;0.1079
p99p100;1952;0.1105
p99p100;1953;0.1094
p99p100;1954;0.1114
p99p100;1955;0.1136
p99p100;1956;0.1106
p99p100;1957;0.1133
p99p100;1958;0.1046
p99p100;1959;0.1132
p99p100;1960;0.1153
p99p100;1961;0.1165
p99p100;1962;0.1105
p99p100;1963;0.1082
p99p100;1964;0.1094
p99p100;1965;0.1103
p99p100;1966;0.1082
p99p100;1967;0.1081
p99p100;1968;0.1026
p99p100;1969;0.1
p99p100;1970;0.0934
p99p100;1971;0.0978
p99p100;1972;0.096
p99p100;1973;0.102
p99p100;1974;0.0984
p99p100;1975;0.0842
p99p100;1976;0.0922
p99p100;1977;0.0865
p99p100;1978;0.084
p99p100;1979;0.08
p99p100;1980;0.086
p99p100;1981;0.0818
p99p100;1982;0.0762
p99p100;1983;0.079
p99p100;1984;0.081
p99p100;1985;0.084
p99p100;1986;0.0919
p99p100;1987;0.0958
p99p100;1988;0.1002
p99p100;1989;0.1016
p99p100;1990;0.0996
p99p100;1991;0.0952
p99p100;1992;0.0906
p99p100;1993;0.0919
p99p100;1994;0.093
p99p100;1995;0.0925
p99p100;1996;0.0978
p99p100;1997;0.1032
p99p100;1998;0.1055
p99p100;1999;0.1076
p99p100;2000;0.1096
p99p100;2001;0.1091
p99p100;2002;0.1057
p99p100;2003;0.1121
p99p100;2004;0.1151
p99p100;2005;0.1128
p99p100;2006;0.1131
p99p100;2007;0.1172
p99p100;2008;0.1131
p99p100;2009;0.0988
p99p100;2010;0.1056
p99p100;2011;0.1115
p99p100;2012;0.1028
p99p100;2013;0.1012
p99p100;2014;0.1022
p99p100;2015;0.1005
p99p100;2016;0.099
p99p100;2017;0.0977
p99p100;2018;0.0966
p99p100;2019;0.0986
p99p100;2020;0.0984
p99p100;2021;0.0984
