"idBank";"Dernière mise à jour";"Correction";"Quotité de temps de travail";"Puissance";"Indicateur";"Série arrêtée";"Nature";"Métiers";"﻿Base de l'indice";"Périodicité";"Unité";"Zone géographique";"Sexe";"Nomenclature de valorisations"
"001665187";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Employés";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Hommes";"Sans objet"
"001665180";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Personnel de service";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Ensemble";"Sans objet"
"001665190";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Ouvriers";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Hommes";"Sans objet"
"001665185";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres moyens";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Femmes";"Sans objet"
"001665189";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Employés";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Ensemble";"Sans objet"
"001665182";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres supérieurs";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Femmes";"Sans objet"
"001665196";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Personnel de service";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Hommes";"Sans objet"
"001665191";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Ouvriers";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Femmes";"Sans objet"
"001665181";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres supérieurs";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Hommes";"Sans objet"
"001665183";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres supérieurs";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Ensemble";"Sans objet"
"001665197";"24/06/2013 12:00";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Personnel de service";"Sans objet";"Annuelle";"euros";"France métropolitaine";"Femmes";"Sans objet"
